id,orderNumber,phone,customerName,totalPrice,address,notes,status,paymentStatus,razorpayOrderId,paymentId,paymentLink,isCustom,customImageUrl,deliveryDate,deliveryTime,createdAt,updatedAt
clrc_ord_1,ORD-001,919209084605,Meera Das,320000,"Sample Address 1","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-15,"Afternoon (2 PM - 5 PM)",2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_ord_2,ORD-002,918904244415,Sana Malhotra,360000,"Sample Address 2","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-05-08 16:24:03,2026-05-08 16:24:03
clrc_ord_3,ORD-003,919603255859,Ananya Verma,170000,"Sample Address 3","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-15,"Afternoon (2 PM - 5 PM)",2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_ord_4,ORD-004,919753253503,Aditya Das,220000,"Sample Address 4","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-15,"Afternoon (2 PM - 5 PM)",2026-04-28 16:24:03,2026-04-28 16:24:03
clrc_ord_5,ORD-005,919294473507,Ananya Reddy,410000,"Sample Address 5","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-04-16 16:24:03,2026-04-16 16:24:03
clrc_ord_6,ORD-006,918490159995,Ananya Gupta,160000,"Sample Address 6","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-15 16:24:03,2026-04-15 16:24:03
clrc_ord_7,ORD-007,919718970136,Sana Sharma,170000,"Sample Address 7","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_ord_8,ORD-008,919374006939,Priya Singh,300000,"Sample Address 8","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-04-22 16:24:03,2026-04-22 16:24:03
clrc_ord_9,ORD-009,917051260709,Ananya Patel,230000,"Sample Address 9","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-05-07 16:24:03,2026-05-07 16:24:03
clrc_ord_10,ORD-010,919939195950,Vikram Malhotra,280000,"Sample Address 10","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_ord_11,ORD-011,919260382783,Aarav Sharma,420000,"Sample Address 11","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-17,"Afternoon (2 PM - 5 PM)",2026-04-26 16:24:03,2026-04-26 16:24:03
clrc_ord_12,ORD-012,917548283051,Ananya Reddy,420000,"Sample Address 12","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-05-11 16:24:03,2026-05-11 16:24:03
clrc_ord_13,ORD-013,917314547548,Ishaan Singh,220000,"Sample Address 13","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-29 16:24:03,2026-04-29 16:24:03
clrc_ord_14,ORD-014,919435284692,Priya Sharma,190000,"Sample Address 14","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_ord_15,ORD-015,917800384732,Aarav Gupta,210000,"Sample Address 15","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-04-20 16:24:03,2026-04-20 16:24:03
clrc_ord_16,ORD-016,919899898204,Neha Verma,220000,"Sample Address 16","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-14 16:24:03,2026-04-14 16:24:03
clrc_ord_17,ORD-017,919185457552,Neha Khan,310000,"Sample Address 17","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-20 16:24:03,2026-04-20 16:24:03
clrc_ord_18,ORD-018,918660064696,Vikram Gupta,430000,"Sample Address 18","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-21 16:24:03,2026-04-21 16:24:03
clrc_ord_19,ORD-019,918976711098,Sana Verma,440000,"Sample Address 19","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-05-01 16:24:03,2026-05-01 16:24:03
clrc_ord_20,ORD-020,919094252032,Aarav Singh,170000,"Sample Address 20","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-05-08 16:24:03,2026-05-08 16:24:03
clrc_ord_21,ORD-021,918663158326,Sana Gupta,190000,"Sample Address 21","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-14,"Afternoon (2 PM - 5 PM)",2026-04-24 16:24:03,2026-04-24 16:24:03
clrc_ord_22,ORD-022,918561111027,Meera Malhotra,440000,"Sample Address 22","Please deliver fresh",DELIVERED,PAID,,,,false,,2026-05-16,"Afternoon (2 PM - 5 PM)",2026-05-03 16:24:03,2026-05-03 16:24:03
